isolation_source,category_1,category_2,category_3
fecal,Animal Associated,GI Tract Related,Animal feces
pig fecal,Animal Associated,GI Tract Related,Animal feces
wild yak dung,Animal Associated,GI Tract Related,Animal feces
pig manure,Animal Associated,GI Tract Related,Animal feces
cow feces,Animal Associated,GI Tract Related,Animal feces
migratory birds feces,Animal Associated,GI Tract Related,Animal feces
aquatic bird feces,Animal Associated,GI Tract Related,Animal feces
infant feces,Animal Associated,GI Tract Related,Human feces
healthy infant fecal samples,Animal Associated,GI Tract Related,Human feces
infant faeces,Animal Associated,GI Tract Related,Human feces
korean adult feces,Animal Associated,GI Tract Related,Human feces
infant faecal,Animal Associated,GI Tract Related,Human feces
adult feces,Animal Associated,GI Tract Related,Human feces
human adult fecal sample,Animal Associated,GI Tract Related,Human feces
healthy adult feces,Animal Associated,GI Tract Related,Human feces
healthy adult fecal sample,Animal Associated,GI Tract Related,Human feces
feces from a healthy human,Animal Associated,GI Tract Related,Human feces
korean infant feces,Animal Associated,GI Tract Related,Human feces
feces of a healthy 100-year-old japanese female,Animal Associated,GI Tract Related,Human feces
human feces,Animal Associated,GI Tract Related,Human feces
infant fecal sample,Animal Associated,GI Tract Related,Human feces
fecal material of healthy human,Animal Associated,GI Tract Related,Human feces
feces from a healthy adult female,Animal Associated,GI Tract Related,Human feces
feces from gastrointestinal tract of a healthy adult female,Animal Associated,GI Tract Related,Human feces
feces from children,Animal Associated,GI Tract Related,Human feces
faeces of baby,Animal Associated,GI Tract Related,Human feces
"human feces (woman, 24 years old)",Animal Associated,GI Tract Related,Human feces
healthy infant feces,Animal Associated,GI Tract Related,Human feces
baby stool,Animal Associated,GI Tract Related,Human feces
feces of infant,Animal Associated,GI Tract Related,Human feces
feces from breastmilk-fed infant,Animal Associated,GI Tract Related,Human feces
isolated from the feces of a centenarian,Animal Associated,GI Tract Related,Human feces
human-fecal,Animal Associated,GI Tract Related,Human feces
"human feces (woman, 60 years old)",Animal Associated,GI Tract Related,Human feces
healthy newborn fecal sample,Animal Associated,GI Tract Related,Human feces
feces from healthy subject,Animal Associated,GI Tract Related,Human feces
human stool,Animal Associated,GI Tract Related,Human feces
vietnamese human feces,Animal Associated,GI Tract Related,Human feces
fecal sample from patient,Animal Associated,GI Tract Related,Human feces
feces of patient with hemolytic uremic syndrome,Animal Associated,GI Tract Related,Human feces
feces from healthy individual,Animal Associated,GI Tract Related,Human feces
healthy human (stool),Animal Associated,GI Tract Related,Human feces
stool sample from a 64-year-old woman from hamburg who presented with bloody diarrhea and did not develop hemolytic uremic syndrome (hus),Animal Associated,GI Tract Related,Human feces
diarrhea from outbreaks of food poisoning,Animal Associated,GI Tract Related,Human feces
infant diarrheic stool,Animal Associated,GI Tract Related,Human feces
bloody diarrhea,Animal Associated,GI Tract Related,Human feces
infant with diarrhea,Animal Associated,GI Tract Related,Human feces
diarrheal patient,Animal Associated,GI Tract Related,Human feces
diarrhoea,Animal Associated,GI Tract Related,Human feces
stool sample from diarrheal patients,Animal Associated,GI Tract Related,Human feces
stool sample from patient (carrier),Animal Associated,GI Tract Related,Human feces
patient with severe diarrhea,Animal Associated,GI Tract Related,Human feces
stools,Animal Associated,GI Tract Related,Human feces
"stool, clinical",Animal Associated,GI Tract Related,Human feces
stool from clinical sample,Animal Associated,GI Tract Related,Human feces
stool sample from patient with cholera,Animal Associated,GI Tract Related,Human feces
passed stool,Animal Associated,GI Tract Related,Human feces
stool sample from a patient with diarrhea,Animal Associated,GI Tract Related,Human feces
stool of 63 year old male,Animal Associated,GI Tract Related,Human feces
cholera patient stool sample,Animal Associated,GI Tract Related,Human feces
stool sample from a patient with cholera,Animal Associated,GI Tract Related,Human feces
stool sample from patient,Animal Associated,GI Tract Related,Human feces
diarrhea,Animal Associated,GI Tract Related,Human feces
patient with cholera-like diarrhea,Animal Associated,GI Tract Related,Human feces
"human with diarrhea assosiated with seafood cunsumption, hospital general",Animal Associated,GI Tract Related,Human feces
"human with diarrhea assosiated with seafood cunsumption, pacific ocean coast northern chile",Animal Associated,GI Tract Related,Human feces
forestomach,Animal Associated,GI Tract Related,Human GI tract
gut,Animal Associated,GI Tract Related,Human GI tract
ileum,Animal Associated,GI Tract Related,Human GI tract
human gut,Animal Associated,GI Tract Related,Human GI tract
gastrointestinal tract,Animal Associated,GI Tract Related,Human GI tract
intestine,Animal Associated,GI Tract Related,Human GI tract
caecum,Animal Associated,GI Tract Related,Human GI tract
gut (caecum),Animal Associated,GI Tract Related,Human GI tract
jejunum,Animal Associated,GI Tract Related,Human GI tract
small intestine,Animal Associated,GI Tract Related,Human GI tract
