isolation_source,category_1,category_2,category_3
wound infection,Animal Associated,Inflammation and Infection,Infection
ear infection,Animal Associated,Inflammation and Infection,Infection
otitis,Animal Associated,Inflammation and Infection,Infection
wound right cheek,Animal Associated,Inflammation and Infection,Inflammation
wound swab,Animal Associated,Inflammation and Infection,Inflammation
leg wound,Animal Associated,Inflammation and Infection,Inflammation
wound,Animal Associated,Inflammation and Infection,Inflammation
chronic wound,Animal Associated,Inflammation and Infection,Inflammation
swab from wound,Animal Associated,Inflammation and Infection,Inflammation
wound of lower leg,Animal Associated,Inflammation and Infection,Inflammation
wound secretion,Animal Associated,Inflammation and Infection,Inflammation
wound right ear,Animal Associated,Inflammation and Infection,Inflammation
ear otitis,Animal Associated,Inflammation and Infection,Inflammation
abscess right neck,Animal Associated,Inflammation and Infection,Inflammation
foot pus,Animal Associated,Inflammation and Infection,Inflammation
pus,Animal Associated,Inflammation and Infection,Inflammation
tooth abscess,Animal Associated,Inflammation and Infection,Inflammation
abscess hepatic,Animal Associated,Inflammation and Infection,Inflammation
biological sample: caseous abscess,Animal Associated,Inflammation and Infection,Inflammation
abscess,Animal Associated,Inflammation and Infection,Inflammation
caseous lymphadenitis abscess,Animal Associated,Inflammation and Infection,Inflammation
diabetic foot ulcer sample 4,Animal Associated,Inflammation and Infection,Inflammation
foot ulcer,Animal Associated,Inflammation and Infection,Inflammation
endocarditis,Animal Associated,Inflammation and Infection,Inflammation
mastitis,Animal Associated,Inflammation and Infection,Inflammation
ulcer swab,Animal Associated,Inflammation and Infection,Inflammation
caseous material,Animal Associated,Inflammation and Infection,Inflammation
caseous lymphedenitis abscess,Animal Associated,Inflammation and Infection,Inflammation
lung abscess,Animal Associated,Inflammation and Infection,Inflammation
abscess from caseous lymphadenitis,Animal Associated,Inflammation and Infection,Inflammation
naturally-occurring caseous lymphadenitis,Animal Associated,Inflammation and Infection,Inflammation
lymphangitis,Animal Associated,Inflammation and Infection,Inflammation
caseous lymphadenitis neck abscess,Animal Associated,Inflammation and Infection,Inflammation
cellulitis,Animal Associated,Inflammation and Infection,Inflammation
ulcerative lymphangitis,Animal Associated,Inflammation and Infection,Inflammation
retropharyngeal abscess,Animal Associated,Inflammation and Infection,Inflammation
biological sample of a sheep abscess,Animal Associated,Inflammation and Infection,Inflammation
abscess of sheep with cla,Animal Associated,Inflammation and Infection,Inflammation
biological sample (abscess),Animal Associated,Inflammation and Infection,Inflammation
neck subcutaneous abscess of a 2 years old boer goat,Animal Associated,Inflammation and Infection,Inflammation
mastitis abscess from cow with severe clinical mastitis in two quarters,Animal Associated,Inflammation and Infection,Inflammation
ovine abscess,Animal Associated,Inflammation and Infection,Inflammation
diabetic foot ulcer sample 3,Animal Associated,Inflammation and Infection,Inflammation
wound r foot,Animal Associated,Inflammation and Infection,Inflammation
diabetic foot ulcer sample 11,Animal Associated,Inflammation and Infection,Inflammation
wound vulva,Animal Associated,Inflammation and Infection,Inflammation
diabetic foot ulcer sample 9,Animal Associated,Inflammation and Infection,Inflammation
diabetic foot ulcer sample 12,Animal Associated,Inflammation and Infection,Inflammation
diabetic foot ulcer sample 8,Animal Associated,Inflammation and Infection,Inflammation
diabetic foot ulcer sample 5,Animal Associated,Inflammation and Infection,Inflammation
toe wound,Animal Associated,Inflammation and Infection,Inflammation
ankle wound,Animal Associated,Inflammation and Infection,Inflammation
ischial ulcer wound,Animal Associated,Inflammation and Infection,Inflammation
hand wound,Animal Associated,Inflammation and Infection,Inflammation
c-section wound,Animal Associated,Inflammation and Infection,Inflammation
elbow wound,Animal Associated,Inflammation and Infection,Inflammation
ulcer,Animal Associated,Inflammation and Infection,Inflammation
caseous abscess,Animal Associated,Inflammation and Infection,Inflammation
caseous lymphadenitis of goats,Animal Associated,Inflammation and Infection,Inflammation
liver abscess,Animal Associated,Inflammation and Infection,Inflammation
septic arthritis in hock,Animal Associated,Inflammation and Infection,Inflammation
renal abscess,Animal Associated,Inflammation and Infection,Inflammation
pectoral abscess,Animal Associated,Inflammation and Infection,Inflammation
diabetic foot ulcer sample 6,Animal Associated,Inflammation and Infection,Inflammation
diabetic foot ulcer sample 1,Animal Associated,Inflammation and Infection,Inflammation
diabetic foot ulcer sample 10,Animal Associated,Inflammation and Infection,Inflammation
udder persistent mastitis,Animal Associated,Inflammation and Infection,Inflammation
"clinical, wound",Animal Associated,Inflammation and Infection,Inflammation
leg ulcer,Animal Associated,Inflammation and Infection,Inflammation
blister,Animal Associated,Inflammation and Infection,Inflammation
skin ulcer,Animal Associated,Inflammation and Infection,Inflammation
corneal ulcer,Animal Associated,Inflammation and Infection,Inflammation
foot wound from a diabetic patient,Animal Associated,Inflammation and Infection,Inflammation
shrimp hemolymph from caribbean coast,Animal Associated,Other Animal Materials,Aquatic Animals
fish; fish products and shellfish,Animal Associated,Other Animal Materials,Aquatic Animals
sponge (xestospongia sp. sym12),Animal Associated,Other Animal Materials,Aquatic Animals
sponge (xestosponiga sp. qyp07),Animal Associated,Other Animal Materials,Aquatic Animals
loach,Animal Associated,Other Animal Materials,Aquatic Animals
beaked whales,Animal Associated,Other Animal Materials,Aquatic Animals
turbot,Animal Associated,Other Animal Materials,Aquatic Animals
sponge,Animal Associated,Other Animal Materials,Aquatic Animals
fish,Animal Associated,Other Animal Materials,Aquatic Animals
gills,Animal Associated,Other Animal Materials,Aquatic Animals
penaeus vannamei,Animal Associated,Other Animal Materials,Aquatic Animals
amberjack juveniles,Animal Associated,Other Animal Materials,Aquatic Animals
plankton,Animal Associated,Other Animal Materials,Aquatic Animals
dead luminiscent amphipod (talorchestia sp.),Animal Associated,Other Animal Materials,Aquatic Animals
black carp,Animal Associated,Other Animal Materials,Aquatic Animals
diseased shrimp hemolymph,Animal Associated,Other Animal Materials,Aquatic Animals
oysters cultured off the spanish mediterranean coast,Animal Associated,Other Animal Materials,Aquatic Animals
shrimps,Animal Associated,Other Animal Materials,Aquatic Animals
diseased larvae,Animal Associated,Other Animal Materials,Aquatic Animals
shrimp,Animal Associated,Other Animal Materials,Aquatic Animals
rotten red algae,Animal Associated,Other Animal Materials,Aquatic Animals
diseased oyster larvae,Animal Associated,Other Animal Materials,Aquatic Animals
larvae from a hatchery,Animal Associated,Other Animal Materials,Aquatic Animals
shrimp hemolymph,Animal Associated,Other Animal Materials,Aquatic Animals
ahpnd infected shrimp,Animal Associated,Other Animal Materials,Aquatic Animals
oyster sample,Animal Associated,Other Animal Materials,Aquatic Animals
pacific oyster adult,Animal Associated,Other Animal Materials,Aquatic Animals
crabs,Animal Associated,Other Animal Materials,Aquatic Animals
marine sponge,Animal Associated,Other Animal Materials,Aquatic Animals
macerated stomach and hepatopancreas samples from shrimp. samples were grown in tcbs and colonies purified on tsa plates according to morphology. isolate was cultured in tcbs.,Animal Associated,Other Animal Materials,Aquatic Animals
ahpnd infected penaeus japonicus,Animal Associated,Other Animal Materials,Aquatic Animals
grouper fish,Animal Associated,Other Animal Materials,Aquatic Animals
sea cuccumber,Animal Associated,Other Animal Materials,Aquatic Animals
mollusk,Animal Associated,Other Animal Materials,Aquatic Animals
zooplankton,Animal Associated,Other Animal Materials,Aquatic Animals
miniatus grouper,Animal Associated,Other Animal Materials,Aquatic Animals
zebrafish,Animal Associated,Other Animal Materials,Aquatic Animals
bivalves,Animal Associated,Other Animal Materials,Aquatic Animals
blue mussel,Animal Associated,Other Animal Materials,Aquatic Animals
prawns,Animal Associated,Other Animal Materials,Aquatic Animals
penaeus vannamei (whiteleg shrimp),Animal Associated,Other Animal Materials,Aquatic Animals
"gills, fins and scales pooled from 10 healthy tilapia fish grown in aquaculture ponds",Animal Associated,Other Animal Materials,Aquatic Animals
coral tissue,Animal Associated,Other Animal Materials,Aquatic Animals
coral,Animal Associated,Other Animal Materials,Aquatic Animals
shark,Animal Associated,Other Animal Materials,Aquatic Animals
brown shark kidney,Animal Associated,Other Animal Materials,Aquatic Animals
japanese oyster larvae,Animal Associated,Other Animal Materials,Aquatic Animals
raw shrimp,Animal Associated,Other Animal Materials,Aquatic Animals
litopenaeus vannamei,Animal Associated,Other Animal Materials,Aquatic Animals
clam,Animal Associated,Other Animal Materials,Aquatic Animals
healthy pacific oyster larvae,Animal Associated,Other Animal Materials,Aquatic Animals
zooplancton,Animal Associated,Other Animal Materials,Aquatic Animals
frog,Animal Associated,Other Animal Materials,Aquatic Animals
kelp tisue,Animal Associated,Other Animal Materials,Aquatic Animals
kelp,Animal Associated,Other Animal Materials,Aquatic Animals
rotifer from water,Animal Associated,Other Animal Materials,Aquatic Animals
zooplankton collected from plum island,Animal Associated,Other Animal Materials,Aquatic Animals
razor clam,Animal Associated,Other Animal Materials,Aquatic Animals
cuttlefish,Animal Associated,Other Animal Materials,Aquatic Animals
plankton sample,Animal Associated,Other Animal Materials,Aquatic Animals
diseased eel,Animal Associated,Other Animal Materials,Aquatic Animals
oyster,Animal Associated,Other Animal Materials,Aquatic Animals
mussel,Animal Associated,Other Animal Materials,Aquatic Animals
crayfish,Animal Associated,Other Animal Materials,Aquatic Animals
takifugu ocellatus,Animal Associated,Other Animal Materials,Aquatic Animals
diseased shrimp,Animal Associated,Other Animal Materials,Aquatic Animals
coral surface mucus layer and tissue,Animal Associated,Other Animal Materials,Aquatic Animals
diseased fish,Animal Associated,Other Animal Materials,Aquatic Animals
sea bass,Animal Associated,Other Animal Materials,Aquatic Animals
"clinical isolate, rainbow trout",Animal Associated,Other Animal Materials,Aquatic Animals
larvae of hard clam,Animal Associated,Other Animal Materials,Aquatic Animals
hairtail,Animal Associated,Other Animal Materials,Aquatic Animals
sick oyster seed,Animal Associated,Other Animal Materials,Aquatic Animals
diseased coral,Animal Associated,Other Animal Materials,Aquatic Animals
dead amphipod,Animal Associated,Other Animal Materials,Aquatic Animals
mussels,Animal Associated,Other Animal Materials,Aquatic Animals
squirrelfish gut,Animal Associated,Other Animal Materials,Aquatic Animals
konosirus punctatus,Animal Associated,Other Animal Materials,Aquatic Animals
young sea trout,Animal Associated,Other Animal Materials,Aquatic Animals
pacific oyster seed,Animal Associated,Other Animal Materials,Aquatic Animals
shirasu,Animal Associated,Other Animal Materials,Aquatic Animals
mucus of coral,Animal Associated,Other Animal Materials,Aquatic Animals
shellfish,Animal Associated,Other Animal Materials,Aquatic Animals
mactra veneriformis,Animal Associated,Other Animal Materials,Aquatic Animals
salmon salar,Animal Associated,Other Animal Materials,Aquatic Animals
homogenised shrimp,Animal Associated,Other Animal Materials,Aquatic Animals
kelp frond,Animal Associated,Other Animal Materials,Aquatic Animals
liver of diseased deep sea cage-cultured grouper,Animal Associated,Other Animal Materials,Aquatic Animals
clams,Animal Associated,Other Animal Materials,Aquatic Animals
sea-bass,Animal Associated,Other Animal Materials,Aquatic Animals
"sea urchin, strongylocentrotus intermedius",Animal Associated,Other Animal Materials,Aquatic Animals
tilapia,Animal Associated,Other Animal Materials,Aquatic Animals
red coral,Animal Associated,Other Animal Materials,Aquatic Animals
big eye fish,Animal Associated,Other Animal Materials,Aquatic Animals
white grunt gut,Animal Associated,Other Animal Materials,Aquatic Animals
cod,Animal Associated,Other Animal Materials,Aquatic Animals
fish from river,Animal Associated,Other Animal Materials,Aquatic Animals
snapper liver,Animal Associated,Other Animal Materials,Aquatic Animals
ahpnd infected litopenaeus vannamei,Animal Associated,Other Animal Materials,Aquatic Animals
oyster larvae,Animal Associated,Other Animal Materials,Aquatic Animals
gorgonian coral,Animal Associated,Other Animal Materials,Aquatic Animals
oysters,Animal Associated,Other Animal Materials,Aquatic Animals
diseased shrimp lesion,Animal Associated,Other Animal Materials,Aquatic Animals
gill,Animal Associated,Other Animal Materials,Aquatic Animals
crab,Animal Associated,Other Animal Materials,Aquatic Animals
"clam, ruditapes decussatus",Animal Associated,Other Animal Materials,Aquatic Animals
mollusc,Animal Associated,Other Animal Materials,Aquatic Animals
rotten kelp,Animal Associated,Other Animal Materials,Aquatic Animals
oyster/environment,Animal Associated,Other Animal Materials,Aquatic Animals
broodstock,Animal Associated,Other Animal Materials,Aquatic Animals
muscle with lesion,Animal Associated,Other Animal Materials,Aquatic Animals
copepod,Animal Associated,Other Animal Materials,Aquatic Animals
broiler fillet,Animal Associated,Other Animal Materials,Birds
broiler leg meat,Animal Associated,Other Animal Materials,Birds
broiler leg,Animal Associated,Other Animal Materials,Birds
chicken,Animal Associated,Other Animal Materials,Birds
chicken meat,Animal Associated,Other Animal Materials,Birds
pigeon,Animal Associated,Other Animal Materials,Birds
laying hen withcolibacillosis,Animal Associated,Other Animal Materials,Birds
wild bird,Animal Associated,Other Animal Materials,Birds
whole blood of a duck with colibacillosis,Animal Associated,Other Animal Materials,Birds
lesion site (lung) of a dead turkey with colibacillosis,Animal Associated,Other Animal Materials,Birds
adult wing,Animal Associated,Other Animal Materials,Birds
chicken trachea,Animal Associated,Other Animal Materials,Birds
poultry,Animal Associated,Other Animal Materials,Birds
roadside hawk 11,Animal Associated,Other Animal Materials,Birds
leg bone from commercial broiler,Animal Associated,Other Animal Materials,Birds
chicken carcass,Animal Associated,Other Animal Materials,Birds
poultry meat,Animal Associated,Other Animal Materials,Birds
migratory bird,Animal Associated,Other Animal Materials,Birds
migratory birds,Animal Associated,Other Animal Materials,Birds
wild drosophila,Animal Associated,Other Animal Materials,Insect
whole body homogenate of fruit fly from compost,Animal Associated,Other Animal Materials,Insect
gut of grasshopper,Animal Associated,Other Animal Materials,Insect
european foulbrood infected honey bee larva,Animal Associated,Other Animal Materials,Insect
insect,Animal Associated,Other Animal Materials,Insect
pupa,Animal Associated,Other Animal Materials,Insect
gut of fungus-growing termite,Animal Associated,Other Animal Materials,Insect
whole fly,Animal Associated,Other Animal Materials,Insects
weaned piglets,Animal Associated,Other Animal Materials,Mammals
beef carpaccio,Animal Associated,Other Animal Materials,Mammals
pork meat,Animal Associated,Other Animal Materials,Mammals
beef meat,Animal Associated,Other Animal Materials,Mammals
minced pork and beef meat,Animal Associated,Other Animal Materials,Mammals
pork and beef meat,Animal Associated,Other Animal Materials,Mammals
healthy piglets,Animal Associated,Other Animal Materials,Mammals
horse meat,Animal Associated,Other Animal Materials,Mammals
thoroughbred horses,Animal Associated,Other Animal Materials,Mammals
ground beef,Animal Associated,Other Animal Materials,Mammals
healthy weaning piglets,Animal Associated,Other Animal Materials,Mammals
swine's gut,Animal Associated,Other Animal Materials,Mammals
mouse,Animal Associated,Other Animal Materials,Mammals
diabetes resistant rats,Animal Associated,Other Animal Materials,Mammals
cattle,Animal Associated,Other Animal Materials,Mammals
cattle hide,Animal Associated,Other Animal Materials,Mammals
pork,Animal Associated,Other Animal Materials,Mammals
beef,Animal Associated,Other Animal Materials,Mammals
pig,Animal Associated,Other Animal Materials,Mammals
manis javanica,Animal Associated,Other Animal Materials,Mammals
goat,Animal Associated,Other Animal Materials,Mammals
bovine adult,Animal Associated,Other Animal Materials,Mammals
mutton,Animal Associated,Other Animal Materials,Mammals
red fox,Animal Associated,Other Animal Materials,Mammals
non-specified beef samples,Animal Associated,Other Animal Materials,Mammals
biological sample of a male horse,Animal Associated,Other Animal Materials,Mammals
raw beef,Animal Associated,Other Animal Materials,Mammals
wild boar,Animal Associated,Other Animal Materials,Mammals
equine placenta,Animal Associated,Other Animal Materials,Mammals
sheep,Animal Associated,Other Animal Materials,Mammals
finished sheep/lamb carcass in sales cooler,Animal Associated,Other Animal Materials,Mammals
biological sample of sheep,Animal Associated,Other Animal Materials,Mammals
biological sample (left flank of goat),Animal Associated,Other Animal Materials,Mammals
ear of a cat,Animal Associated,Other Animal Materials,Mammals
prescapular of a female goat,Animal Associated,Other Animal Materials,Mammals
sample was collected from caseous material in the lung of a native sheep.,Animal Associated,Other Animal Materials,Mammals
sheep rearing,Animal Associated,Other Animal Materials,Mammals
laboratory strain; originating from goat,Animal Associated,Other Animal Materials,Mammals
biological sample of female sheep,Animal Associated,Other Animal Materials,Mammals
cattle carcass,Animal Associated,Other Animal Materials,Mammals
tissue and/or biological fluid swine,Animal Associated,Other Animal Materials,Mammals
porcine,Animal Associated,Other Animal Materials,Mammals
blood from piglet with acute sepsis,Animal Associated,Other Animal Materials,Mammals
swine (food source),Animal Associated,Other Animal Materials,Mammals
mastitis milk,Animal Associated,Other Animal Materials,Mammals
calf,Animal Associated,Other Animal Materials,Mammals
comminuted beef,Animal Associated,Other Animal Materials,Mammals
bobby veal steak,Animal Associated,Other Animal Materials,Mammals
diced lamb,Animal Associated,Other Animal Materials,Mammals
bovine,Animal Associated,Other Animal Materials,Mammals
bovine carcass,Animal Associated,Other Animal Materials,Mammals
meat,Animal Associated,Other Animal Materials,Others
biofilm,Animal Associated,Other Animal Materials,Others
animal,Animal Associated,Other Animal Materials,Others
meat samples,Animal Associated,Other Animal Materials,Others
earthworm,Animal Associated,Other Animal Materials,Others
biological product [envo:02000043],Animal Associated,Other Animal Materials,Others
root knot nematode (meloidogyne),Animal Associated,Other Animal Materials,Others
biological sample,Animal Associated,Other Animal Materials,Others
animal lymphoma scapular,Animal Associated,Other Animal Materials,Others
animal lymphoma parotid,Animal Associated,Other Animal Materials,Others
animal lymphoma pre-scapular,Animal Associated,Other Animal Materials,Others
animal lymphoma retrofaringeo,Animal Associated,Other Animal Materials,Others
ceftazidime (8 ppm) after mating experiment,Animal Associated,Other Animal Materials,Others
head kidney,Animal Associated,Other Animal Materials,Others
healthy animal,Animal Associated,Other Animal Materials,Others
air of cow shed,Env Associated,Human activities related,Agricultural Related
pasture,Env Associated,Human activities related,Agricultural Related
wooden cheese container,Env Associated,Human activities related,Agricultural Related
pig farm,Env Associated,Human activities related,Agricultural Related
soil of paddy field,Env Associated,Human activities related,Agricultural Related
dairy environment,Env Associated,Human activities related,Agricultural Related
commercial farm,Env Associated,Human activities related,Agricultural Related
underground farm slurry reservoir,Env Associated,Human activities related,Agricultural Related
dairy farm,Env Associated,Human activities related,Agricultural Related
broiler chicken farm,Env Associated,Human activities related,Agricultural Related
slaughterhouse,Env Associated,Human activities related,Agricultural Related
brewery environment,Env Associated,Human activities related,Alcohol Processing Environments
"sour wort, tchapalo (sorghum african beer) processing",Env Associated,Human activities related,Alcohol Processing Environments
brewing environment of maotai-flavor liquor,Env Associated,Human activities related,Alcohol Processing Environments
brewery,Env Associated,Human activities related,Alcohol Processing Environments
distilled-spirit-fermenting cellar,Env Associated,Human activities related,Alcohol Processing Environments
winery environment,Env Associated,Human activities related,Alcohol Processing Environments
walls of a distilled spirit fermenting cellar,Env Associated,Human activities related,Alcohol Processing Environments
"sour wort, tchapalo ((sorghum african beer) processing",Env Associated,Human activities related,Alcohol Processing Environments
brewery-associated surface,Env Associated,Human activities related,Alcohol Processing Environments
beer keg,Env Associated,Human activities related,Alcohol Processing Environments
brazilian ethanol production industries,Env Associated,Human activities related,Alcohol Processing Environments
beer bottle from 1840's shipwreck,Env Associated,Human activities related,Aquatic Environment
drinking water,Env Associated,Human activities related,Aquatic Environment
amphitheater springs near vegetative/sediment and waters edge,Env Associated,Human activities related,Aquatic Environment
ulu slim hot spring,Env Associated,Human activities related,Aquatic Environment
outflow 1 m downstream from hot springs,Env Associated,Human activities related,Aquatic Environment
surface of a eutrophic freshwater pond,Env Associated,Human activities related,Aquatic Environment
household water source,Env Associated,Human activities related,Aquatic Environment
gray water,Env Associated,Human activities related,Aquatic Environment
stored water,Env Associated,Human activities related,Aquatic Environment
well water,Env Associated,Human activities related,Aquatic Environment
tap water,Env Associated,Human activities related,Aquatic Environment
household water (environmental),Env Associated,Human activities related,Aquatic Environment
public spring water,Env Associated,Human activities related,Aquatic Environment
public distribution water,Env Associated,Human activities related,Aquatic Environment
storm drain,Env Associated,Human activities related,Aquatic Environment
clinical,Env Associated,Human activities related,Built and Urban Environments
ncsu equine educational unit,Env Associated,Human activities related,Built and Urban Environments
from a built environment,Env Associated,Human activities related,Built and Urban Environments
kitchen e,Env Associated,Human activities related,Built and Urban Environments
nanchang,Env Associated,Human activities related,Built and Urban Environments
shanghai,Env Associated,Human activities related,Built and Urban Environments
international space station during mt-2,Env Associated,Human activities related,Built and Urban Environments
laboratory,Env Associated,Human activities related,Built and Urban Environments
lab,Env Associated,Human activities related,Built and Urban Environments
hospital universitario mutua de terrassa (terrassa),Env Associated,Human activities related,Built and Urban Environments
outdoors environment of a veterinary clinic,Env Associated,Human activities related,Built and Urban Environments
atcc,Env Associated,Human activities related,Built and Urban Environments
hospital,Env Associated,Human activities related,Built and Urban Environments
pavement of the street,Env Associated,Human activities related,Built and Urban Environments
sanger centre via imperial college,Env Associated,Human activities related,Built and Urban Environments
utum,Env Associated,Human activities related,Built and Urban Environments
gong dong,Env Associated,Human activities related,Built and Urban Environments
indoor dust from athletic faciility hallway,Env Associated,Human activities related,Built and Urban Environments
indoor dust from athletic facility,Env Associated,Human activities related,Built and Urban Environments
indoor dust from athletic faciility gym,Env Associated,Human activities related,Built and Urban Environments
bedside rail in hospital intensive care unit,Env Associated,Human activities related,Built and Urban Environments
estonia,Env Associated,Human activities related,Built and Urban Environments
hospital universitario ramon y cajal (madrid),Env Associated,Human activities related,Built and Urban Environments
hospital universitario central de asturias (oviedo),Env Associated,Human activities related,Built and Urban Environments
hospital de el escorial (madrid),Env Associated,Human activities related,Built and Urban Environments
hospital universitari germans trias i pujol (badalona),Env Associated,Human activities related,Built and Urban Environments
hospital universitario son de espases (palma de mallorca),Env Associated,Human activities related,Built and Urban Environments
cheonggukjang,Env Associated,Human activities related,Built and Urban Environments
jiangsu,Env Associated,Human activities related,Built and Urban Environments
kaist,Env Associated,Human activities related,Built and Urban Environments
in vitro laboratory,Env Associated,Human activities related,Built and Urban Environments
hefei,Env Associated,Human activities related,Built and Urban Environments
muschelkalk,Env Associated,Human activities related,Built and Urban Environments
"jukgye, dongnam, cheonan, korea",Env Associated,Human activities related,Built and Urban Environments
stool material,Env Associated,Human activities related,Built and Urban Environments
composting distilled shochu residue,Env Associated,Human activities related,Compost
composting material of distilled shochu residue,Env Associated,Human activities related,Compost
compost,Env Associated,Human activities related,Compost
compost [envo:00002170],Env Associated,Human activities related,Compost
processing plant,Env Associated,Human activities related,Industrial Facilities
fermented olive; commercial processor,Env Associated,Human activities related,Industrial Facilities
coke and gas plant treatment facilities,Env Associated,Human activities related,Industrial Facilities
cotton plant,Env Associated,Human activities related,Industrial Facilities
apple dumpster,Env Associated,Human activities related,Others
cocoa bean heap fermentation,Env Associated,Human activities related,Others
bioscrubber,Env Associated,Human activities related,Others
anthropogenic environmental material,Env Associated,Human activities related,Others
biofilm reactor,Env Associated,Human activities related,Others
endoscope washer-disinfector,Env Associated,Human activities related,Others
coal bed,Env Associated,Human activities related,Others
organic manure,Env Associated,Human activities related,Others
garden soil,Env Associated,Human activities related,Soil
fecal contaminated soil,Env Associated,Human activities related,Soil
agricultural soil,Env Associated,Human activities related,Soil
soil sample,Env Associated,Human activities related,Soil
rhizosphere soil of tomato,Env Associated,Human activities related,Soil
rhizosphere soil around rice plants,Env Associated,Human activities related,Soil
pcb contaminated soil,Env Associated,Human activities related,Soil
contaminated soil,Env Associated,Human activities related,Soil
rhizosphere soil of a ginseng-cultivation field,Env Associated,Human activities related,Soil
rice rhizosphere soil,Env Associated,Human activities related,Soil
apple rhizosphere soil,Env Associated,Human activities related,Soil
cucumber rhizosphere soil,Env Associated,Human activities related,Soil
cotton-waste compost,Env Associated,Human activities related,Soil
agricultural soil sample,Env Associated,Human activities related,Soil
farmland soil,Env Associated,Human activities related,Soil
rhizosphere soil from salvia miltiorrhiza,Env Associated,Human activities related,Soil
drought soil/ flooding soil in rice field,Env Associated,Human activities related,Soil
sewage,Env Associated,Human activities related,Waste Related
drain,Env Associated,Human activities related,Waste Related
municipal sewage,Env Associated,Human activities related,Waste Related
wastewater,Env Associated,Human activities related,Waste Related
waste water,Env Associated,Human activities related,Waste Related
wwtps effluent shatin wwtps_1,Env Associated,Human activities related,Waste Related
stanley wwtps_47 wwtps effluent,Env Associated,Human activities related,Waste Related
stanley wwtps_13 wwtps influent,Env Associated,Human activities related,Waste Related
shek wu hui wwtps_68 wwtps effluent,Env Associated,Human activities related,Waste Related
sludge from the aeration tanks of urban wastewater treatment plants,Env Associated,Human activities related,Waste Related
sludge,Env Associated,Human activities related,Waste Related
wastewater of shrimp pond,Env Associated,Human activities related,Waste Related
waste material,Env Associated,Human activities related,Waste Related
wastewater treatment plant,Env Associated,Human activities related,Waste Related
industrial wastewater,Env Associated,Human activities related,Waste Related
activated sludge,Env Associated,Human activities related,Waste Related
surface biofilm from hospital sink drain,Env Associated,Human activities related,Waste Related
drainage,Env Associated,Human activities related,Waste Related
sewage sludge,Env Associated,Human activities related,Waste Related
the activated sludge of a sewage treatment plant,Env Associated,Human activities related,Waste Related
enrichment culture of sludge sample from pulp mill wastewater,Env Associated,Human activities related,Waste Related
taihu new city sewage treatment plant,Env Associated,Human activities related,Waste Related
polluted environment,Env Associated,Human activities related,Waste Related
environment sample from cotton waste for mushroom cultivation,Env Associated,Human activities related,Waste Related
contaminated plate,Env Associated,Human activities related,Waste Related
hospital sewage,Env Associated,Human activities related,Waste Related
sewer,Env Associated,Human activities related,Waste Related
the waste water of the city hospital number 4,Env Associated,Human activities related,Waste Related
aquarium water,Env Associated,Human activities related,Aquaculture Related
shrimp pond,Env Associated,Human activities related,Aquaculture Related
shrimp farm,Env Associated,Human activities related,Aquaculture Related
shellfish hatchery tank,Env Associated,Human activities related,Aquaculture Related
seawater from white shrimp (litopenaeus vannamei) tank,Env Associated,Human activities related,Aquaculture Related
aquaculture pond water,Env Associated,Human activities related,Aquaculture Related
aquaculture,Env Associated,Human activities related,Aquaculture Related
fish farm,Env Associated,Human activities related,Aquaculture Related
shrimp pool,Env Associated,Human activities related,Aquaculture Related
fish farm water sample,Env Associated,Human activities related,Aquaculture Related
shrimp pond sediment,Env Associated,Human activities related,Aquaculture Related
aquaculture pond,Env Associated,Human activities related,Aquaculture Related
maturation tank water,Env Associated,Human activities related,Aquaculture Related
aquaculture pipe,Env Associated,Human activities related,Aquaculture Related
shellfish hatchery,Env Associated,Human activities related,Aquaculture Related
shrimp culture pond,Env Associated,Human activities related,Aquaculture Related
seawater from broodstock tank,Env Associated,Human activities related,Aquaculture Related
cage-cultured,Env Associated,Human activities related,Aquaculture Related
"oysters, cultured off the spanish mediterranean coast",Env Associated,Human activities related,Aquaculture Related
the shrimp farm in eastern thailand,Env Associated,Human activities related,Aquaculture Related
surface of a sandy sediment particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree c,Env Associated,Human activities related,Aquaculture Related
eel tank water,Env Associated,Human activities related,Aquaculture Related
aquaculture environment,Env Associated,Human activities related,Aquaculture Related
the shrimp farm in north vietnam,Env Associated,Human activities related,Aquaculture Related
surface seawater into aquaculture facility,Env Associated,Human activities related,Aquaculture Related
sediment beside shrimp field,Env Associated,Human activities related,Aquaculture Related
aquaculture pipe deposits,Env Associated,Human activities related,Aquaculture Related
circulating aquarium,Env Associated,Human activities related,Aquaculture Related
shrimp farm water,Env Associated,Human activities related,Aquaculture Related
aquaculture environmental,Env Associated,Human activities related,Aquaculture Related
surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree c,Env Associated,Human activities related,Aquaculture Related
shellfish hatchery seawater lines,Env Associated,Human activities related,Aquaculture Related
larvae in seawater tank,Env Associated,Human activities related,Aquaculture Related
aquaculture farm,Env Associated,Human activities related,Aquaculture Related
crassostrea gigas larvae tank in the pacific northwest,Env Associated,Human activities related,Aquaculture Related
oyster pond,Env Associated,Human activities related,Aquaculture Related
mud crab larvae aquaculture tank,Env Associated,Human activities related,Aquaculture Related
algal culture,Env Associated,Human activities related,Aquaculture Related
saltern,Env Associated,Human activities related,Saltern
solar saltern sediment,Env Associated,Human activities related,Saltern
